OID_,FIRE_ID,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
1,AL3377308564120120131,0.000000000000000,1032300.000000000000000,0.000000000000000,755100.000000000000000,30600.000000000000000,7200.000000000000000,900.000000000000000,4500.000000000000000,28252800.000000000000000,12523500.000000000000000,3443400.000000000000000,1341000.000000000000000,650700.000000000000000,1347300.000000000000000,791100.000000000000000,70200.000000000000000,0.000000000000000
2,FL3035908459920120212,0.000000000000000,11700.000000000000000,0.000000000000000,839700.000000000000000,372600.000000000000000,6300.000000000000000,900.000000000000000,4500.000000000000000,0.000000000000000,21315600.000000000000000,9000.000000000000000,288900.000000000000000,99000.000000000000000,3600.000000000000000,13500.000000000000000,27260100.000000000000000,25200.000000000000000
3,FL2854908180920120217,0.000000000000000,15598800.000000000000000,0.000000000000000,5148900.000000000000000,4474800.000000000000000,2160900.000000000000000,589500.000000000000000,171000.000000000000000,0.000000000000000,509400.000000000000000,111600.000000000000000,270000.000000000000000,210600.000000000000000,6690600.000000000000000,1379700.000000000000000,7306200.000000000000000,5615100.000000000000000
4,UT3714711329520120522,0.000000000000000,900.000000000000000,0.000000000000000,1548900.000000000000000,1588500.000000000000000,970200.000000000000000,256500.000000000000000,94500.000000000000000,900.000000000000000,477900.000000000000000,6300.000000000000000,33935400.000000000000000,6999300.000000000000000,356400.000000000000000,3878100.000000000000000,115200.000000000000000,14400.000000000000000
5,NV3874311953520120522,0.000000000000000,0.000000000000000,0.000000000000000,190800.000000000000000,169200.000000000000000,20700.000000000000000,0.000000000000000,208800.000000000000000,9000.000000000000000,803700.000000000000000,0.000000000000000,28215000.000000000000000,20624400.000000000000000,0.000000000000000,0.000000000000000,6300.000000000000000,0.000000000000000
6,FL2800108148320120522,0.000000000000000,258300.000000000000000,0.000000000000000,396900.000000000000000,356400.000000000000000,185400.000000000000000,37800.000000000000000,102600.000000000000000,58500.000000000000000,4653900.000000000000000,684000.000000000000000,5890500.000000000000000,585900.000000000000000,12766500.000000000000000,2960100.000000000000000,20274300.000000000000000,1025100.000000000000000
7,MI4663708543320120524,0.000000000000000,2504700.000000000000000,0.000000000000000,1672200.000000000000000,730800.000000000000000,170100.000000000000000,2700.000000000000000,10800.000000000000000,4240800.000000000000000,7657200.000000000000000,891000.000000000000000,747000.000000000000000,15907500.000000000000000,13500.000000000000000,0.000000000000000,13514400.000000000000000,2174400.000000000000000
8,UT4130811247020120524,0.000000000000000,4390200.000000000000000,0.000000000000000,2700.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,5689800.000000000000000,78300.000000000000000,1255500.000000000000000,15300.000000000000000,18356400.000000000000000,20150100.000000000000000,23400.000000000000000,15300.000000000000000,19800.000000000000000,255600.000000000000000
9,CA3306611643120120524,0.000000000000000,0.000000000000000,0.000000000000000,1281600.000000000000000,77400.000000000000000,5400.000000000000000,0.000000000000000,1319400.000000000000000,0.000000000000000,219600.000000000000000,0.000000000000000,15066900.000000000000000,32280300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
10,CO3843610898920120525,0.000000000000000,331200.000000000000000,0.000000000000000,6300.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,3140100.000000000000000,28299600.000000000000000,53100.000000000000000,5625900.000000000000000,12072600.000000000000000,251100.000000000000000,233100.000000000000000,221400.000000000000000,12600.000000000000000
11,FL2984108222220120525,0.000000000000000,23400.000000000000000,0.000000000000000,555300.000000000000000,296100.000000000000000,36900.000000000000000,23400.000000000000000,0.000000000000000,511200.000000000000000,22505400.000000000000000,158400.000000000000000,4501800.000000000000000,5310000.000000000000000,3958200.000000000000000,0.000000000000000,11867400.000000000000000,490500.000000000000000
12,AZ3178311160920120530,0.000000000000000,7200.000000000000000,0.000000000000000,1800.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,20422800.000000000000000,132300.000000000000000,21323700.000000000000000,8179200.000000000000000,0.000000000000000,0.000000000000000,184500.000000000000000,900.000000000000000
13,UT4018911192120120531,0.000000000000000,12517200.000000000000000,0.000000000000000,385200.000000000000000,186300.000000000000000,22500.000000000000000,900.000000000000000,114300.000000000000000,0.000000000000000,304200.000000000000000,0.000000000000000,14564700.000000000000000,21368700.000000000000000,87300.000000000000000,155700.000000000000000,4500.000000000000000,543600.000000000000000
14,CA3614911850520120601,0.000000000000000,0.000000000000000,0.000000000000000,8100.000000000000000,900.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,48600.000000000000000,28981800.000000000000000,97200.000000000000000,16724700.000000000000000,4357800.000000000000000,0.000000000000000,0.000000000000000,32400.000000000000000,0.000000000000000
