FIRE_ID,Open_Water,Developed,Barren,Deciduous,Evergreen,Mixed,Shrub,grass,Pasture,Crops,Wetlands
AL3377308564120120131,2.054303829,1.579682631,0.008955117,56.22380628,24.92209048,6.852455493,2.668624852,1.294909912,2.681162016,1.57430956,0.139699824
FL3035908459920120212,0.023283304,2.426836694,0.008955117,0,42.41859799,0.017910234,0.574918508,0.197012573,0.007164094,0.026865351,54.29845614
FL2854908180920120217,31.0503592,24.63139791,0.34038589,0,1.013991652,0.222146581,0.537451405,0.419212096,13.31804583,2.746376682,25.72063276
UT3714711329520120522,0.00179128,8.685916956,0.188084405,0.00179128,0.951169706,0.01253896,67.54200552,13.93078494,0.709346899,7.71862573,0.257944327
NV3874311953520120522,0,0.757643603,0.415539754,0.017911196,1.599469829,0,56.15160037,41.04529742,0,0,0.012537837
FL2800108148320120522,0.514171056,1.943817407,0.204235193,0.116449891,9.264036691,1.361567953,11.72560823,1.166290444,25.41294923,5.89236447,42.39850944
MI4663708543320120524,4.985757538,5.127286408,0.021498056,8.441570075,15.24212186,1.773589638,1.486948888,31.6648453,0.02687257,0,31.22950967
UT4130811247020120524,8.736142701,0.007163709,11.32224152,0.155810663,2.498343392,0.030445762,36.52775042,40.09706825,0.046564106,0.030445762,0.548023712
CA3306611643120120524,0,2.71519146,2.625640291,0,0.437009707,0,29.98352258,64.23863596,0,0,0
CO3843610898920120525,0.659143829,0.012538062,0,6.249328318,56.32097439,0.105677951,11.19648934,24.02650905,0.499731327,0.463908293,0.465699445
FL2984108222220120525,0.046578287,1.814761734,0,1.017556431,44.7975636,0.315299176,8.960945898,10.56968828,7.878896453,0,24.59871014
AZ3178311160920120530,0.014327674,0.003581918,0,0,40.64044702,0.263271008,42.43319722,16.27623755,0,0,0.368937603
UT4018911192120120531,24.90732284,1.183760454,0.227439603,0,0.6053117,0,28.9815362,42.52046061,0.173713713,0.309819302,1.090635577
CA3614911850520120601,0,0.017909913,0,0.096713531,57.67350228,0.193427062,33.28199158,8.671979941,0,0,0.064475687
NV3887411963420120601,0,0.107461403,0,0.032238421,2.657878712,0,68.99917613,28.11906724,0,0,0.084178099
NV3809511410120120601,0,0,0,0,47.64088418,0,20.06233655,32.28424032,0,0,0.01253896
NM3410510358020120602,0,0.888347602,0.687752982,0,0,0,76.18297095,19.46305119,0,2.777877279,0
UT3823111150520120605,0.064469914,0.85243553,1.466690544,0.723495702,66.16762178,9.054441261,9.876432665,11.58846705,0.008954155,0.089541547,0.107449857
ID4256411501620120603,0,0.100290125,0,0,0,0,0.055517748,99.84419213,0,0,0
WY4218410537620120603,0.0411928,0.025073878,0,0,33.38945106,0,4.912689173,61.56353542,0.007163965,0,0.060893705
CO4080510828320120604,0,0.361728417,0.050140573,0,0.213097434,0,88.00028652,11.37474706,0,0,0
UT3797611156320120604,0.560550163,0.850675167,0.171925929,22.0638275,52.8815502,9.187291808,8.623159855,5.564311043,0,0,0.096708335
NM3341910582920120604,0.188020414,0.195183096,0.046557436,0.585549288,56.39538007,0,15.49288208,27.09642761,0,0,0
ID4317811560420120604,0.003582624,0.042991491,0,0,0.016121809,0,16.2955665,83.07926556,0.562472011,0,0
FL2785808134920120604,15.47761916,1.721327625,0.035823676,0.899174264,4.723351663,3.104121514,17.97632055,2.527360332,23.01492056,6.278099196,24.24188146
WY4407610434920120605,0,0.09492594,0,0,9.96901474,0,10.05140329,66.89950388,10.91827414,1.380903767,0.685974245
UT3845911206020120605,0.494287045,2.537698342,0.09133565,19.73745478,22.84823955,17.5776353,30.86965866,5.779218453,0,0,0.064472223
MT4651510773320120605,0,0.041200917,0,0,27.86615076,0,43.52787332,26.71252508,0.967325881,0.840140441,0.044783606
ID4325711609020120607,0.01253649,1.146193384,0,0,0,0,29.16703978,69.67423035,0,0,0
TX2957509453720120608,33.56555689,1.858982395,0.041191325,0,0,0,0,0.001790927,0.182674571,0.034027616,64.31577628
WY4229810478320120609,7.0866847,2.185479104,1.159020475,0,9.709259624,0,6.509861527,73.0451606,0,0.001791376,0.302742597
CO4058910540420120609,0,1.699802973,0,0.200608992,31.18932474,0.304495791,8.907397457,56.63442594,0.134336378,0,0.929607738
AZ3324911108620120610,0,1.137788927,0.017917936,0,1.612614227,0.066296363,77.6545422,19.44275219,0,0,0.068088156
NV3967911463320120612,0,0.494295897,0,1.15514802,50.51310063,0.003581854,23.52920107,24.25452657,0.001790927,0,0.048355033
FL2856108089320120223,1.831049001,1.676968557,0,0,3.121024814,0.032249395,0.451491535,1.365224402,0.100331452,0,91.42166084
TX3640110222320120225,0,1.218026797,0,0,0,0,4.521028874,72.49050656,0,21.69162427,0.078813499
SD4357810084420120225,0.406576873,0.549863877,0.051941539,1.422123513,0.008955438,0,0.517624301,95.10674882,0.54090844,0.718226107,0.677031093
OK3621509615120120226,4.41658458,6.248768693,0,72.94707621,0.030446852,0.084176592,1.792782305,13.28378257,1.096086684,0,0.100295514
NC3522208417320120226,0.007163196,2.523235615,0,57.42375674,3.246718361,33.98399026,0.526494869,0.68408517,1.574112211,0,0.030443581
MO3781009282520120302,0.154091487,2.538926018,0.005375284,80.88907205,0,0.390604003,0.60561538,1.23452366,14.14058161,0,0.041210514
MO3745909046820120302,0.899174264,1.19471959,0.010747103,80.76626843,0.838274015,7.773737663,0.139712336,0.343907288,7.397589067,0,0.635870247
OK3581809595220120303,0.177317667,5.052657974,0,73.7337011,0,0,1.121220805,7.277188709,12.19014185,0.447771887,0
OK3574109645020120304,0.198792915,3.524544657,0,52.74280495,0,0.021491126,1.710335441,31.68687429,10.10978384,0,0.005372781
OK3496809505120120304,0.741696227,3.930631696,0.123616038,19.51341861,8.133576982,23.76294385,1.838116737,4.68486868,36.45239887,0,0.818732309
MS3475108905520120306,1.09042077,5.482542525,0.016114593,28.12891674,19.87108326,10.0340197,5.013428827,3.237242614,10.10922113,10.9042077,6.112802149
NC3410107825120120308,0.037611491,0.505068596,0.012537164,0.037611491,8.177812802,0.016119211,2.172511373,2.195794677,0.016119211,0,86.82881398
NE4268309789120120310,8.419317856,1.45457151,0.028661508,25.47649756,0.318859272,0.123602752,0.066279736,54.39058469,0.021496131,2.072585268,7.627543709
MT4858910949320120313,1.519413736,1.449535038,0.005375284,0,0,0,16.52183261,42.57046102,0.487359123,30.97238896,6.47363423
SC3382208078720120313,0.118241427,3.923465549,0.001791537,0.462216489,21.79762801,2.538607618,0.919058368,5.277867355,1.0570067,4.502131929,59.40198502
AZ3328910997820120316,0,0.001790991,0,0,0,0,69.26300707,30.73520193,0,0,0
MN4680409347520120317,0.059110124,1.391774737,0,10.79207566,0,0.073439851,0,0.003582432,4.886436913,0.093143226,82.70043706
MN4891109679920120321,0.338582254,2.939753856,0.050160334,10.4530553,0.659250103,3.040074524,0.256175991,0.257967432,22.51661561,46.08659823,13.40176636
SD4461210303320120326,0.265114196,0.001791312,3.215405284,0,0,0,2.635020152,93.31482311,0.446036722,0,0.121809225
CO3943610521720120326,0,1.065563495,0,9.738713086,56.73454038,4.650871255,14.50957216,12.45007969,0.186249754,0,0.664410179
FL2996108535820120326,1.596230674,6.739640624,0.655690715,0.193482506,7.918450707,0,0.644941687,2.314624053,0.008957523,0,79.92798151
MO3680909113820120327,0.023284138,2.539762144,0,79.54757129,8.536323255,4.606677174,0.454936237,1.527797679,2.763648087,0,0
MT4765110995820120329,0.139694821,2.093631349,0,0,0,0,10.55770471,50.21491511,1.233970915,35.56128663,0.198796475
MT4839710981420120330,0.041197965,0.583936376,0,0,0,0,10.74550405,55.5957584,1.800171957,30.61904421,0.614387046
MN4712909591820120401,2.511059768,3.145093404,0.014328444,1.362993212,0.003582111,0.053731664,0,1.590457256,2.563000376,57.6236276,31.13212616
FL2615908147820120404,0.007165249,2.529332736,0.077026422,0.252575011,3.871025526,0.582176444,0,0.539184953,0.087774295,0.089565607,91.96417376
FL3054908246520120405,0.055524708,0.807794953,0,0.021493436,2.833551253,0,0.087764862,2.874747004,0,0,93.31912378
MN4704809595220120406,2.033030021,2.323206993,0.010747295,1.026366698,0,0.010747295,0,3.474958802,0.512287741,70.28551981,20.32313534
VA3763008006320120407,0,1.995664714,0,80.8280038,0.580426721,12.6690672,1.975958869,1.904301249,0.023288726,0,0.023288726
