OID_,FOD_ID,FPA_ID,SOURCE_SYS,SOURCE_S_1,NWCG_REPOR,NWCG_REP_1,NWCG_REP_2,SOURCE_REP,SOURCE_R_1,LOCAL_FIRE,LOCAL_INCI,FIRE_CODE,FIRE_NAME,ICS_209_IN,ICS_209_NA,MTBS_ID,MTBS_FIRE_,COMPLEX_NA,FIRE_YEAR,DISCOVERY_,DISCOVERY1,DISCOVER_1,STAT_CAUSE,STAT_CAU_1,CONT_DATE,CONT_DOY,CONT_TIME,FIRE_SIZE,FIRE_SIZE_,LATITUDE,LONGITUDE,OWNER_CODE,OWNER_DESC,STATE,COUNTY,FIPS_CODE,FIPS_NAME
0,201103018,W-623214,FED,DOI-WFMI,BIA,USORWSA,Warm Springs Agency,ORWSA,Warm Springs Agency,65, ,F6SB,UPPER DRY CREEK,OR-WSA-0065,4612 UDC,OR4478312125820110707,4612UDC, ,2011,7/7/2011 0:00:00,188,1312,5.000000000000000,Debris Burning,7/10/2011 0:00:00,191,1800,1313.000000000000000,F,44.783299999999997,-121.258300000000006,2.000000000000000,BIA,OR, , , 
1,201103045,W-627145,FED,DOI-WFMI,BIA,USORWSA,Warm Springs Agency,ORWSA,Warm Springs Agency,93, ,GB7Z,WEBSTER,OR-WSA-000093,webster, , , ,2011,8/24/2011 0:00:00,236,1721,1.000000000000000,Lightning,8/25/2011 0:00:00,237,1600,1500.000000000000000,F,44.825000000000003,-121.120800000000003,2.000000000000000,BIA,OR, , , 
2,201103163,W-625508,FED,DOI-WFMI,BIA,USWACOA,Colville Agency,WACOA,Colville Agency,85, ,F9M7,KWEI KWEI,WA-COA-0085,Kwei Kwei Creek, , , ,2011,8/6/2011 0:00:00,218,1757,2.000000000000000,Equipment Use,8/8/2011 0:00:00,220,1800,611.000000000000000,E,47.972059999999999,-118.837580000000003,2.000000000000000,BIA,WA, , , 
3,201103677,W-623523,FED,DOI-WFMI,BIA,USCASCA,Southern California Agency,CASCA,Southern California Agency,100, ,F7C6,EAGLE,CA-MVU-008019,EAGLE,CA3327711653720110721,EAGLE, ,2011,7/21/2011 0:00:00,202,2330,7.000000000000000,Arson,7/30/2011 0:00:00,211,0600,14100.000000000000000,G,33.283017000000001,-116.539044000000004,2.000000000000000,BIA,CA, , , 
4,201104190,W-625881,FED,DOI-WFMI,BIA,USMTNCA,Northern Cheyenne Agency,MTNCA,Northern Cheyenne Agency,36, ,GB0M,WATER HOLE,MT-NCA-000036,Water Hole,MT4568210688720110822,BLACKSPRINGSCOMPLEX,BLACK SPRINGS COMPLEX,2011,8/22/2011 0:00:00,234,1430,1.000000000000000,Lightning,11/28/2011 0:00:00,332,1200,18970.000000000000000,G,45.681899999999999,-106.887000000000000,2.000000000000000,BIA,MT, , , 
5,201104446,W-625035,FED,DOI-WFMI,BIA,USOKCOA,Concho Field Office,OKCOA,Concho Field Office,1121, ,F9NS,COLONY,OK-COA-001121,Colony,OK3533409868020110806,COLONY, ,2011,8/6/2011 0:00:00,218,1640,7.000000000000000,Arson,8/15/2011 0:00:00,227,1200,1480.000000000000000,F,35.346100000000000,-98.675799999999995,2.000000000000000,BIA,OK, , , 
6,201104015,W-629736,FED,DOI-WFMI,BIA,USMTCRA,Crow Agency,MTCRA,Crow Agency,41, ,F9RZ,HOSS,MT-CRA-000041,Hoss, , , ,2011,8/7/2011 0:00:00,219,1400,1.000000000000000,Lightning,10/5/2011 0:00:00,278,1555,802.000000000000000,E,45.218800000000002,-107.937299999999993,8.000000000000000,PRIVATE,MT, , , 
7,201104034,W-629806,FED,DOI-WFMI,BIA,USMTCRA,Crow Agency,MTCRA,Crow Agency,60, ,GB0V,BEAUVAIS CREEK,MT-CRA-000060,Beauvais Creek, , , ,2011,8/22/2011 0:00:00,234,1558,1.000000000000000,Lightning,8/24/2011 0:00:00,236,1800,789.600000000000023,E,45.507500000000000,-107.968199999999996,2.000000000000000,BIA,MT, , , 
8,201104292,W-619697,FED,DOI-WFMI,BIA,USKSHOA,Horton Agency,KSHOA,Horton Agency,9, ,F2HF,182, , ,KS3938409593320110413,182, ,2011,4/13/2011 0:00:00,103,0518,5.000000000000000,Debris Burning,4/13/2011 0:00:00,103,1700,1700.000000000000000,F,39.383600000000001,-95.933296999999996,2.000000000000000,BIA,KS, , , 
9,201104406,W-624087,FED,DOI-WFMI,BIA,USOKANA,Anadarko Agency,OKANA,Anadarko Agency,2122, ,F9HW,WACME, , ,OK3482609806320110805,WACME, ,2011,8/5/2011 0:00:00,217,1500,2.000000000000000,Equipment Use,8/9/2011 0:00:00,221,0700,1500.000000000000000,F,34.826099999999997,-98.062500000000000,8.000000000000000,PRIVATE,OK, , , 
