ID,Latitude,Longitude
TX3306310011720110619,33.063,-100.117
NC3454407767320110619,34.521,-77.684
MS3034108946220110620,30.351,-89.504
TX3030610156820110620,30.323,-101.578
TX3170610062820110620,31.71,-100.63
TX3207810046020110620,32.172,-100.447
TX3220810145420110620,32.207,-101.43
TX3317609955320110620,33.173,-99.531
TX3072910200020110411,30.663,-101.977
TX3078610202920110411,30.807,-101.986
TX3179610058220110411,31.73,-100.468
TX3298710081820110411,32.927,-100.643
AR3607709335020110412,36.061,-93.345
FL2685408155520110412,26.862,-81.543
KS3841309652120110412,38.41,-96.525
AZ3446711047420110623,34.476,-110.458
OK3472309849320110623,34.706,-98.499
NV4022411747320110624,40.223,-117.496
TX3325210146620110624,33.273,-101.453
AL3026908763820110625,30.276,-87.631
NM3292610378420110625,32.945,-103.779
TX3301409940520110625,33.003,-99.404
AZ3307311037720110626,33.053,-110.331
NM3581210654120110626,35.87,-106.423
NM3410910475620110627,34.099,-104.741
NM3278110553420110628,32.779,-105.547
NM3317110540120110628,33.143,-105.393
NM3330110523720110628,33.279,-105.31
TX3414110264520110628,34.136,-102.649
CO3853710472820110629,38.554,-104.748
GA3086808245120110701,30.806,-82.323
NM3238510580520110701,32.38,-105.811
NM3566810363120110702,35.668,-103.626
NM3577210370320110702,35.764,-103.712
NV3975511921920110702,39.721,-119.21
CA3575211893120110621,35.756,-118.896
NM3464910402220110412,34.633,-104.024
OK3439409737720110412,34.405,-97.377
OK3468909870320110412,34.688,-98.719
OK3501809605220110412,35.039,-96.042
OK3645709664920110412,36.456,-96.651
KS3938409593320110413,39.395,-95.944
TX3632710027520110217,36.211,-100.361
FL2689308170620110218,26.896,-81.71
FL2699708117020110218,26.997,-81.173
AL3390408554520110219,33.899,-85.541
CO3781310378320110219,37.895,-103.735
MO3667809121320110219,36.698,-91.241
NC3440107772520110219,34.437,-77.727
VA3738208020020110219,37.383,-80.201
VA3800807784220110219,38.027,-77.905
VA3804207858320110219,38.015,-78.612
