"","OID_","STAID","STANAME","LAT_GAGE","LNG_GAGE","GAGEID","min_date"
"1",1,"07227420","Cramer Ck at US Hwy 54 nr Dalhart, TX",35.75125,-102.893167,"07227420 (Cramer Ck at US Hwy 54 nr Dalhart, TX)",2015-06-08
"2",2,"07227500","Canadian Rv nr Amarillo, TX",35.470326,-101.879628,"07227500 (Canadian Rv nr Amarillo, TX)",2011-03-09
"3",3,"07233500","Palo Duro Ck nr Spearman, TX",36.202255,-101.305993,"07233500 (Palo Duro Ck nr Spearman, TX)",2017-09-04
"4",4,"07235000","Wolf Ck at Lipscomb, TX",36.238649,-100.275689,"07235000 (Wolf Ck at Lipscomb, TX)",2008-06-10
"5",5,"07295500","Tierra Blanca Ck abv Buffalo Lk nr Umbarger, TX",34.848671,-102.17603,"07295500 (Tierra Blanca Ck abv Buffalo Lk nr Umbarger, TX)",2001-11-20
"6",6,"07297910","Pr Dog Twn Fk Red Rv nr Wayside, TX",34.837555,-101.414058,"07297910 (Pr Dog Twn Fk Red Rv nr Wayside, TX)",2016-11-11
"7",7,"07298000","N Tule Draw at Res nr Tulia, TX",34.559505,-101.709625,"07298000 (N Tule Draw at Res nr Tulia, TX)",2012-06-26
"8",8,"07298200","Tule Ck nr Silverton, TX",34.543395,-101.42989,"07298200 (Tule Ck nr Silverton, TX)",2016-06-29
"9",9,"07298500","Pr Dog Twn Fk Red Rv nr Brice, TX",34.627836,-100.940699,"07298500 (Pr Dog Twn Fk Red Rv nr Brice, TX)",2019-11-02
"10",10,"07299540","Pr Dog Twn Fk Red Rv nr Childress, TX",34.569227,-100.194002,"07299540 (Pr Dog Twn Fk Red Rv nr Childress, TX)",2009-05-17
"11",11,"07299670","Groesbeck Ck at SH 6 nr Quanah, TX",34.35452,-99.740372,"07299670 (Groesbeck Ck at SH 6 nr Quanah, TX)",2007-12-29
"12",12,"07299890","Lelia Lk Ck bl Bell Ck nr Hedley, TX",34.93561,-100.69652,"07299890 (Lelia Lk Ck bl Bell Ck nr Hedley, TX)",2006-07-08
"13",13,"07300000","Salt Fk Red Rv nr Wellington, TX",34.957553,-100.220949,"07300000 (Salt Fk Red Rv nr Wellington, TX)",2013-08-30
"14",14,"07301300","N Fk Red Rv nr Shamrock, TX",35.264216,-100.241786,"07301300 (N Fk Red Rv nr Shamrock, TX)",2007-10-16
"15",15,"07301410","Sweetwater Ck nr Kelton, TX",35.473104,-100.12095,"07301410 (Sweetwater Ck nr Kelton, TX)",2018-09-20
"16",16,"07307800","Pease Rv nr Childress, TX",34.227572,-100.073718,"07307800 (Pease Rv nr Childress, TX)",2015-10-26
"17",17,"07308200","Pease Rv nr Vernon, TX",34.179252,-99.278137,"07308200 (Pease Rv nr Vernon, TX)",2006-08-21
"18",18,"07311600","N Wichita Rv nr Paducah, TX",33.950637,-100.064827,"07311600 (N Wichita Rv nr Paducah, TX)",2018-02-15
