"","FIRE_ID","FIRE_TYPE","IG_DATE","LATITUDE","LONGITUDE","ACRES","US_L4CODE","ECO_US_ID","SECTION","year","month","ppt","tmean","vpdmax","vpdmin","PDSI","Open_Water","Developed","Barren","Deciduous","Evergreen","Mixed","Shrub","grass","Pasture","Crops","Wetlands","DOY","PET","EVI","NDVI","Elevation"
"1","AL3377308564120120131","Wildfire",2012-01-31,33.752,-85.627,1422,"45d",103,"Southern Ridge and Valley Section",2012,1,115.185997009277,7.97300052642822,7.76300001144409,0.418000012636185,-3.26,2.054303829,1.579682631,0.008955117,56.22380628,24.92209048,6.852455493,2.668624852,1.294909912,2.681162016,1.57430956,0.139699824,31,2.5,0.2149,0.5616,420
"2","FL3035908459920120212","Wildfire",2012-02-12,30.356,-84.599,859,"75a",100,"Florida Coastal Lowlands (Western) Section",2012,2,105.496002197266,14.0520009994507,9.91600036621094,0.40200001001358,-4.89,0.023283304,2.426836694,0.008955117,0,42.41859799,0.017910234,0.574918508,0.197012573,0.007164094,0.026865351,54.29845614,43,2.8,0.3178,0.6508,38
"3","FL2854908180920120217","Wildfire",2012-02-17,28.546,-81.795,1095,"75c",99,"Coastal Plains and Flatwoods, Lower Section",2012,2,22.3589992523193,18.4740009307861,15.28600025177,0.717999994754791,-4.02,31.0503592,24.63139791,0.34038589,0,1.013991652,0.222146581,0.537451405,0.419212096,13.31804583,2.746376682,25.72063276,48,2.2,0.2151,0.4525,30
"4","UT3714711329520120522","Wildfire",2012-05-22,37.145,-113.28,1952,"20h",56,"Grand Canyon Lands Section",2012,5,0,21.5910015106201,37.3950004577637,12.8959999084473,-2.41,0.00179128,8.685916956,0.188084405,0.00179128,0.951169706,0.01253896,67.54200552,13.93078494,0.709346899,7.71862573,0.257944327,143,9.7,0.1215,0.19,1237
"5","NV3874311953520120522","Wildfire",2012-05-22,38.776,-119.478,7224,"13x",32,"Mono Section",2012,5,7.53970003128052,9.60500049591064,15.8680000305176,2.79500007629395,-3.06,0,0.757643603,0.415539754,0.017911196,1.599469829,0,56.15160037,41.04529742,0,0,0.012537837,143,6.4,0.2244,0.3583,2248
"6","FL2800108148320120522","Wildfire",2012-05-22,28.006,-81.472,939,"75d",99,"Coastal Plains and Flatwoods, Lower Section",2012,5,90.7579956054688,25.878002166748,28.6299991607666,0.998000025749207,-2.59,0.514171056,1.943817407,0.204235193,0.116449891,9.264036691,1.361567953,11.72560823,1.166290444,25.41294923,5.89236447,42.39850944,143,6.8,0.5183,0.7937,18
"7","MI4663708543320120524","Wildfire",2012-05-23,46.622,-85.413,21484,"50x",115,"Northern Great Lakes Section",2012,5,22.2831001281738,11.8540000915527,14.21399974823,0.492000013589859,-2.43,4.985757538,5.127286408,0.021498056,8.441570075,15.24212186,1.773589638,1.486948888,31.6648453,0.02687257,0,31.22950967,144,5.3,0.2659,0.5924,210
"8","UT4130811247020120524","Wildfire",2012-05-24,41.302,-112.477,4450,"13d",49,"Bonneville Basin Section",2012,5,20.4388999938965,11.3620004653931,18.2929992675781,3.8840000629425,-2.74,8.736142701,0.007163709,11.32224152,0.155810663,2.498343392,0.030445762,36.52775042,40.09706825,0.046564106,0.030445762,0.548023712,145,4.5,0.196,0.2848,1587
"9","CA3306611643120120524","Wildfire",2012-05-24,33.053,-116.45,5371,"81b",6,"Southern California Mountains and Valleys Section",2012,5,0,19.443000793457,35.0989990234375,3.78500008583069,-1.47,0,2.71519146,2.625640291,0,0.437009707,0,29.98352258,64.23863596,0,0,0,145,7.9,0.1423,0.2158,1101
"10","CO3843610898920120525","Wildfire",2012-05-25,38.458,-108.997,5905,"20c",42,"Northern Canyon Lands Section",2012,5,0,15.2810010910034,26.9890003204346,5.93800020217896,-3.37,0.659143829,0.012538062,0,6.249328318,56.32097439,0.105677951,11.19648934,24.02650905,0.499731327,0.463908293,0.465699445,146,8.5,0.2038,0.4028,2163
"11","FL2984108222220120525","Wildfire",2012-05-25,29.822,-82.247,2301,"75d",99,"Coastal Plains and Flatwoods, Lower Section",2012,5,191.276489257812,24.2960014343262,25.8719997406006,0.635999977588654,-5.03,0.046578287,1.814761734,0,1.017556431,44.7975636,0.315299176,8.960945898,10.56968828,7.878896453,0,24.59871014,146,7.6,0.3954,0.6758,46
"12","AZ3178311160920120530","Wildfire",2012-05-30,31.776,-111.607,1627,"79b",36,"Sonoran Mojave Desert Section",2012,5,11.5164995193481,21.5710010528564,42.560001373291,10.1099996566772,-2.57,0.014327674,0.003581918,0,0,40.64044702,0.263271008,42.43319722,16.27623755,0,0,0.368937603,151,7.1,0.2488,0.449,1721
"13","UT4018911192120120531","Wildfire",2012-05-31,40.173,-111.93,1809,"13c",49,"Bonneville Basin Section",2012,5,2.52670001983643,15.4510011672974,24.9150009155273,4.36800003051758,-1.84,24.90732284,1.183760454,0.227439603,0,0.6053117,0,28.9815362,42.52046061,0.173713713,0.309819302,1.090635577,152,6,0.1514,0.2342,1420
"14","CA3614911850520120601","Wildfire",2012-06-01,36.167,-118.473,1876,"5m",10,"Sierra Nevada Section",2012,6,0,14.3400011062622,19.5820007324219,2.21499991416931,-1.79,0,0.017909913,0,0.096713531,57.67350228,0.193427062,33.28199158,8.671979941,0,0,0.064475687,153,6.4,0.3486,0.6124,1952
"15","NV3887411963420120601","Wildfire",2012-06-01,38.873,-119.604,1102,"13x",32,"Mono Section",2012,6,8.02799987792969,15.5950002670288,27.0919990539551,4.80900001525879,-2.99,0,0.107461403,0,0.032238421,2.657878712,0,68.99917613,28.11906724,0,0,0.084178099,153,6.6,0.1133,0.2114,1891
"16","NV3809511410120120601","Wildfire",2012-06-01,38.134,-114.051,5603,"13d",34,"Southeastern Great Basin Section",2012,6,0,18.8380012512207,32.5830001831055,10.9940004348755,-2.97,0,0,0,0,47.64088418,0,20.06233655,32.28424032,0,0,0.01253896,153,7.1,0.1748,0.27,2337
"17","NM3410510358020120602","Wildfire",2012-06-02,34.086,-103.573,2621,"25i",76,"Texas High Plains Section",2012,6,20.8409996032715,26.2190017700195,47.9580001831055,5.60300016403198,-3.74,0,0.888347602,0.687752982,0,0,0,76.18297095,19.46305119,0,2.777877279,0,154,8.7,0.1188,0.1796,1282
"18","UT3823111150520120605","Wildfire",2012-06-03,38.245,-111.497,2062,"19e",165,"Utah High Plateaus and Mountains Section",2012,6,3.39199995994568,16.0900001525879,29.3490009307861,7.18699979782104,-2.67,0.064469914,0.85243553,1.466690544,0.723495702,66.16762178,9.054441261,9.876432665,11.58846705,0.008954155,0.089541547,0.107449857,155,6.2,0.2537,0.5136,2700
"19","ID4256411501620120603","Wildfire",2012-06-03,42.54,-115.052,6436,"80a",27,"Owyhee Uplands Section",2012,6,4.34999990463257,18.492000579834,32.5410003662109,6.15500020980835,-1.52,0,0.100290125,0,0,0,0,0.055517748,99.84419213,0,0,0,155,6.5,0.1025,0.1942,1278
"20","WY4218410537620120603","Wildfire",2012-06-04,42.177,-105.368,8567,"21c",59,"Northern Parks and Ranges Section",2012,6,17.1709995269775,18.5420017242432,32.9160003662109,5.98400020599365,-4.35,0.0411928,0.025073878,0,0,33.38945106,0,4.912689173,61.56353542,0.007163965,0,0.060893705,156,7.3,0.1944,0.4835,2002
"21","CO4080510828320120604","Wildfire",2012-06-04,40.922,-108.342,1356,"18e",46,"Greater Green River Basin Section",2012,6,0.0689999982714653,18.7770004272461,34.2649993896484,8.32299995422363,-3.43,0,0.361728417,0.050140573,0,0.213097434,0,88.00028652,11.37474706,0,0,0,156,7.4,0.1063,0.1571,2142
"22","UT3797611156320120604","Wildfire",2012-06-04,37.978,-111.544,1336,"19e",165,"Utah High Plateaus and Mountains Section",2012,6,0,17.9409999847412,31.0030002593994,9.27999973297119,-2.63,0.560550163,0.850675167,0.171925929,22.0638275,52.8815502,9.187291808,8.623159855,5.564311043,0,0,0.096708335,156,7.5,0.2691,0.5113,2699
"23","NM3341910582920120604","Wildfire",2012-06-04,33.445,-105.743,37935,"23f",38,"Basin and Range Section",2012,6,14.6999998092651,19.992000579834,31.1879997253418,7.95499992370605,-4.18,0.188020414,0.195183096,0.046557436,0.585549288,56.39538007,0,15.49288208,27.09642761,0,0,0,156,6.9,0.2855,0.59,2390
"24","ID4317811560420120604","Wildfire",2012-06-04,43.139,-115.543,6241,"12h",27,"Owyhee Uplands Section",2012,6,2.80900001525879,17.5650005340576,30.8449993133545,3.70199990272522,1.86,0.003582624,0.042991491,0,0,0.016121809,0,16.2955665,83.07926556,0.562472011,0,0,156,6.1,0.1056,0.2244,1062
"25","FL2785808134920120604","Wildfire",2012-06-04,27.858,-81.323,744,"75d",99,"Coastal Plains and Flatwoods, Lower Section",2012,6,381.713012695312,26.1080017089844,20.1070003509521,0.802999973297119,-2.24,15.47761916,1.721327625,0.035823676,0.899174264,4.723351663,3.104121514,17.97632055,2.527360332,23.01492056,6.278099196,24.24188146,156,7.7,0.2053,0.4344,18
"26","WY4407610434920120605","Wildfire",2012-06-05,44.093,-104.354,1694,"17a",62,"Northwestern Great Plains Section",2012,6,28.7189998626709,18.8080005645752,30.8980007171631,3.38100004196167,-2.94,0,0.09492594,0,0,9.96901474,0,10.05140329,66.89950388,10.91827414,1.380903767,0.685974245,157,8.9,0.2728,0.5867,1553
